"sampid","hid","isolate","datecollected"
"dzd-1090","1221151512225610000","1","10/21/2018"
"dzd-1091","4230421018575750000","1","10/21/2018"
"dzd-1092","2221165512363610000","1","10/21/2018"
"dzd-1093","5653576609502000000","1","10/21/2018"
"dzd-1094","2778863487698380000","1","10/21/2018"
"dzd-1095","221142512220616000","1","10/21/2018"
"dzd-1096","778839487665383000","1","10/21/2018"
"dzd-1097","1771471077801590000","1","10/21/2018"
"dzd-1098","221146512208616000","2.0","10/21/2018"
"dzd-1099","1771456077783590000","1","10/21/2018"
"dzd-11","8662889545020910000","1","7/30/2018"
"dzd-110","3898088792332320000","1","8/11/2018"
"dzd-1100","4771481077810590000","1","10/21/2018"
"dzd-1101","4771486077822590000","1","10/21/2018"
"dzd-1102","8778996488367380000","1","10/21/2018"
"dzd-1103","778840487678383000","1","10/21/2018"
"dzd-1104","7779005488380380000","1","10/21/2018"
"dzd-1105","5664097380791270000","1","10/21/2018"
"dzd-1106","3336065619906720000","1","10/21/2018"
"dzd-1107","221146512208616000","3.0","10/21/2018"
"dzd-1108","4771485077805590000","1","10/21/2018"
"dzd-1109","1771461077780590000","1","10/21/2018"
"dzd-111","219935676531263000","1","8/11/2018"
"dzd-1110","1771470077798590000","1","10/21/2018"
"dzd-1111","3221159512245610000","1","10/21/2018"
"dzd-1112","8779010488380380000","1","10/21/2018"
"dzd-1113","6664107380800270000","2.0","10/21/2018"
"dzd-1114","221144512201616000","4.0","10/21/2018"
"dzd-1115","4221174512370610000","4.0","10/21/2018"
"dzd-1116","8779011488384380000","1","10/21/2018"
"dzd-1117","7664096380696270000","1","10/21/2018"
"dzd-1118","6664113380810270000","1","10/21/2018"
"dzd-1119","1221156512342610000","1","10/21/2018"
"dzd-112","1219937676542260000","1","8/11/2018"
"dzd-1120","221143512226616000","1","10/21/2018"
"dzd-1121","7782623692877280000","1","10/21/2018"
"dzd-1122","6782617692865280000","1","10/21/2018"
"dzd-1123","3336065619907720000","1","10/21/2018"
"dzd-1124","7782626692988280000","1","10/21/2018"
"dzd-1125","8778997488371380000","1","10/21/2018"
"dzd-1126","1771462077791590000","1","10/21/2018"
"dzd-1127","4771482077826590000","1","10/21/2018"
"dzd-1128","7778991488371380000","1","10/21/2018"
"dzd-1129","6664109380802270000","1","10/21/2018"
"dzd-113","7905504202258110000","1","8/13/2018"
"dzd-1130","6664115380812270000","1","10/21/2018"
"dzd-1131","8664097380692270000","1","10/21/2018"
"dzd-1132","6782623692976280000","1","10/21/2018"
"dzd-1133","8664100380703270000","1","10/21/2018"
"dzd-1134","7664100380694270000","1","10/21/2018"
"dzd-1135","3346438390310990000","1","10/21/2018"
"dzd-1136","6782619692985280000","1","10/21/2018"
"dzd-1137","346446390548995000","2.0","10/21/2018"
"dzd-1138","1771470077797590000","1","10/21/2018"
"dzd-1139","3771480077813590000","1","10/21/2018"
"dzd-114","1455176923898660000","1","8/13/2018"
"dzd-1140","4228561922258400000","1","10/21/2018"
"dzd-1141","1228533922113400000","1","10/21/2018"
"dzd-1142","6346466390464990000","1","10/21/2018"
"dzd-1143","771450077773590000","1","10/21/2018"
"dzd-1144","778838487660383000","1","10/21/2018"
