"sampid","hid","isolate","datecollected"
"dzd-1478","3457927026180730000","2.0","11/14/2018"
"dzd-1479","4988803047714820000","1","11/14/2018"
"dzd-148","1455174923892660000","2.0","8/13/2018"
"dzd-1480","6014988157529070000","1","11/14/2018"
"dzd-1481","3102938310626510000","2.0","11/14/2018"
"dzd-1482","3102938310626510000","1","11/14/2018"
"dzd-1483","1353626067633270000","1","11/14/2018"
"dzd-1484","353627067628270000","1","11/14/2018"
"dzd-1485","353623067639270000","1","11/14/2018"
"dzd-1486","353627067629270000","1","11/14/2018"
"dzd-1487","2457907026153730000","1","11/14/2018"
"dzd-1488","7015001157674070000","1","11/14/2018"
"dzd-1489","897093689419488000","2.0","11/14/2018"
"dzd-149","8905514202253110000","1","8/13/2018"
"dzd-1490","897093689419488000","1","11/14/2018"
"dzd-1491","2897078689318480000","2.0","11/14/2018"
"dzd-1492","3014994157640070000","1","11/14/2018"
"dzd-1493","7114090925788200000","1","11/14/2018"
"dzd-1494","1985015842287920000","1","11/14/2018"
"dzd-1495","5014987157646070000","1","11/14/2018"
"dzd-1496","5014987157646070000","1","11/14/2018"
"dzd-1497","7015001157674070000","3.0","11/14/2018"
"dzd-1498","2897077689303480000","1","11/14/2018"
"dzd-1499","3897086689329480000","1","11/14/2018"
"dzd-15","7662884545020910000","1","7/30/2018"
"dzd-150","4105675412881570000","1","8/13/2018"
"dzd-1500","3014993157625070000","1","11/14/2018"
"dzd-1501","2985024842283920000","1","11/14/2018"
"dzd-1502","897093689425488000","1","11/14/2018"
"dzd-1503","3102939310602510000","1","11/14/2018"
"dzd-1504","2102935310602510000","1","11/14/2018"
"dzd-1505","1985016842283920000","6.0","11/14/2018"
"dzd-1506","3102941310608510000","1","11/14/2018"
"dzd-1507","3102941310608510000","2.0","11/14/2018"
"dzd-1508","2014993157754070000","1","11/14/2018"
"dzd-1509","5988798047582820000","1","11/14/2018"
"dzd-151","4105675412880570000","1","8/13/2018"
"dzd-1510","5988798047583820000","1","11/14/2018"
"dzd-1511","2985023842308920000","1","11/14/2018"
"dzd-1512","2014987157628070000","1","11/14/2018"
"dzd-1513","2014993157748070000","1","11/14/2018"
"dzd-1514","1985020842282920000","1","11/14/2018"
"dzd-1515","8332657148006350000","1","11/14/2018"
"dzd-1516","6988810047599820000","1","11/14/2018"
"dzd-1517","1985021842291920000","1","11/14/2018"
"dzd-1518","8015008157684070000","1","11/14/2018"
"dzd-1519","6114078925671200000","2.0","11/14/2018"
"dzd-152","2105665412866570000","1","8/13/2018"
"dzd-1520","6114078925671200000","6.0","11/14/2018"
"dzd-1521","8897095689228480000","1","11/14/2018"
"dzd-1522","8900862894642380000","1","11/14/2018"
"dzd-1523","1014988157753070000","3.0","11/14/2018"
"dzd-1524","8900855894624380000","1","11/14/2018"
"dzd-1525","4545875179169160000","2.0","11/14/2018"
"dzd-1526","4545875179169160000","1","11/14/2018"
"dzd-1527","8897108689362480000","1","11/14/2018"
"dzd-1528","1985016842283920000","1","11/14/2018"
"dzd-1529","8900859894626380000","1","11/14/2018"
"dzd-153","6544991076823330000","1","8/13/2018"
"dzd-1530","8900854894624380000","1","11/14/2018"
"dzd-1531","1985015842292920000","2.0","11/14/2018"
"dzd-1532","7545868179069160000","1","11/14/2018"
"dzd-1533","6545865179048160000","1","11/14/2018"
"dzd-1534","7545871179058160000","1","11/14/2018"
"dzd-1535","3897094689448480000","2.0","11/14/2018"
"dzd-1536","3897094689448480000","3.0","11/14/2018"
"dzd-1537","3102943310615510000","2.0","11/14/2018"
"dzd-1538","3353619067536270000","1","11/14/2018"
"dzd-1539","6545863179045160000","1","11/14/2018"
"dzd-154","4544977076789330000","1","8/13/2018"
"dzd-1540","3897082689312480000","1","11/14/2018"
"dzd-1541","1102932310610510000","2.0","11/14/2018"
"dzd-1542","1102932310610510000","1","11/14/2018"
"dzd-1543","3897083689315480000","1","11/14/2018"
"dzd-1544","7545878179070160000","1","11/14/2018"
"dzd-1545","5545860179052160000","1","11/14/2018"
"dzd-1546","8545879179077160000","1","11/14/2018"
"dzd-1547","8900853894627380000","1","11/14/2018"
"dzd-1548","6545860179047160000","1","11/14/2018"
"dzd-1549","3545869179159160000","1","11/14/2018"
"dzd-155","455160923901668000","1","8/13/2018"
"dzd-1550","3545869179159160000","2.0","11/14/2018"
"dzd-1551","8900854894627380000","1","11/14/2018"
"dzd-1552","7545868179068160000","1","11/14/2018"
"dzd-1553","3796443935430920000","1","11/27/2018"
"dzd-1554","7900851894635380000","1","11/27/2018"
"dzd-1555","7900851894635380000","4.0","11/27/2018"
"dzd-1556","3353623067529270000","1","11/27/2018"
"dzd-1557","7646540933062730000","1","11/27/2018"
"dzd-1558","7900851894626380000","3.0","11/27/2018"
"dzd-1559","7900851894626380000","2.0","11/27/2018"
"dzd-156","1544850076141330000","1","8/13/2018"
"dzd-1560","7900851894626380000","1","11/27/2018"
"dzd-1561","353623067642270000","1","11/27/2018"
"dzd-1562","1353626067637270000","1","11/27/2018"
"dzd-1563","6796565936107920000","1","11/27/2018"
"dzd-1564","4353638067682270000","1","11/27/2018"
"dzd-1565","353629067644270000","1","11/27/2018"
"dzd-1566","3545870179162160000","1","11/27/2018"
"dzd-1567","5796567936085920000","1","11/27/2018"
"dzd-1568","7353649067577270000","1","11/27/2018"
"dzd-1569","5353638067561270000","1","11/27/2018"
"dzd-157","5544980076812330000","1","8/13/2018"
"dzd-1570","6796564936107920000","1","11/27/2018"
"dzd-1571","1796420935418920000","1","11/27/2018"
"dzd-1572","2353616067516270000","1","11/27/2018"
"dzd-1573","5353637067561270000","1","11/27/2018"
"dzd-1574","8549627384327060000","1","11/27/2018"
"dzd-1575","8545880179063160000","1","11/27/2018"
"dzd-1576","6545868179043160000","1","11/27/2018"
"dzd-1577","5545860179052160000","1","11/27/2018"
"dzd-1578","6796567936102920000","1","11/27/2018"
"dzd-1579","2796435935412920000","1","11/27/2018"
"dzd-158","8905514202264110000","1","8/13/2018"
"dzd-1580","3796446935442920000","1","11/27/2018"
"dzd-1581","3545870179162160000","1","11/27/2018"
"dzd-1582","353625067621270000","1","11/27/2018"
"dzd-1583","7353653067693270000","1","11/27/2018"
"dzd-1584","5796568936100920000","1","11/27/2018"
"dzd-1585","3796441935419920000","1","11/27/2018"
"dzd-1586","3796440935440920000","1","11/27/2018"
"dzd-1587","3796445935439920000","1","11/27/2018"
"dzd-1588","6796567936095920000","1","11/27/2018"
"dzd-1589","5796562936089920000","1","11/27/2018"
"dzd-159","544836076116331000","1","8/13/2018"
"dzd-1590","1796420935418920000","1","11/27/2018"
"dzd-1591","4353624067538270000","1","11/27/2018"
"dzd-1592","4353624067538270000","2.0","11/27/2018"
"dzd-1593","4796551936090920000","1","11/27/2018"
"dzd-1594","2353620067535270000","1","11/27/2018"
"dzd-1595","2353620067535270000","2.0","11/27/2018"
"dzd-1596","6646534933061730000","1","11/27/2018"
"dzd-1597","3796442935423920000","1","11/27/2018"
"dzd-1598","2353616067516270000","1","11/27/2018"
"dzd-1599","6545859179046160000","1","11/27/2018"
"dzd-16","3783559224613890000","1","7/30/2018"
"dzd-160","7545001076821330000","1","8/13/2018"
"dzd-1600","6545859179046160000","5.0","11/27/2018"
"dzd-1601","6796566936092920000","1","11/27/2018"
"dzd-1602","8545884179078160000","2.0","11/27/2018"
"dzd-1603","1000101009913320000","1","11/27/2018"
"dzd-1604","1353633067650270000","1","11/27/2018"
"dzd-1605","3102939310603510000","1","11/27/2018"
"dzd-1606","8900856894638380000","1","11/27/2018"
"dzd-1607","6545868179043160000","1","11/27/2018"
"dzd-1608","8900859894622380000","1","11/27/2018"
"dzd-1609","1353631067633270000","1","11/27/2018"
"dzd-161","1340882660067970000","1","8/13/2018"
"dzd-1610","7545878179067160000","1","11/27/2018"
"dzd-1611","1353631067633270000","1","11/27/2018"
"dzd-1612","353626067634270000","1","11/27/2018"
"dzd-1613","3353622067525270000","1","11/27/2018"
"dzd-1614","1353633067636270000","1","11/27/2018"
"dzd-1615","8900863894616380000","1","11/27/2018"
"dzd-1616","3454156820785830000","1","11/27/2018"
"dzd-1617","102917310578511000","1","11/27/2018"
"dzd-1618","897092689421488000","1","11/27/2018"
"dzd-1619","353628067630270000","1","11/27/2018"
"dzd-162","1340884660077970000","1","8/13/2018"
"dzd-1620","102917310578511000","2.0","11/27/2018"
"dzd-1621","3353622067524270000","1","11/27/2018"
"dzd-1622","1897092689421480000","2.0","11/27/2018"
"dzd-1623","1897092689421480000","1","11/27/2018"
"dzd-1624","4545877179170160000","1","11/27/2018"
"dzd-1625","1353636067653270000","1","11/27/2018"
"dzd-1626","353628067630270000","1","11/27/2018"
"dzd-1627","7900852894614380000","2.0","11/27/2018"
"dzd-1628","102916310572510000","7.0","11/27/2018"
"dzd-1629","102916310572510000","6.0","11/27/2018"
"dzd-163","1340888660191970000","1","8/13/2018"
"dzd-1630","102916310572510000","4.0","11/27/2018"
"dzd-1631","102916310572510000","3.0","11/27/2018"
"dzd-1632","102916310572510000","2.0","11/27/2018"
"dzd-1633","1353633067638270000","1","11/27/2018"
"dzd-1634","8900859894621380000","1","11/27/2018"
"dzd-1635","102916310572510000","1","11/27/2018"
"dzd-1636","102916310572510000","8.0","11/27/2018"
"dzd-1637","102916310572510000","5.0","11/27/2018"
"dzd-1638","8900863894616380000","1","11/27/2018"
"dzd-1639","3353618067531270000","1","11/27/2018"
"dzd-164","2340893660201970000","1","8/13/2018"
"dzd-1640","3353617067526270000","1","11/27/2018"
"dzd-1641","8559991692473430000","2.0","11/27/2018"
"dzd-1642","5353644067691270000","1","11/27/2018"
"dzd-1643","3545858179031160000","1","11/27/2018"
"dzd-1644","353625067629270000","1","11/27/2018"
"dzd-1645","3454162820901830000","1","11/27/2018"
"dzd-1646","1353634067646270000","2.0","11/27/2018"
"dzd-1647","1353634067646270000","1","11/27/2018"
"dzd-1648","1353634067646270000","3.0","11/27/2018"
"dzd-165","2105664412869570000","1","8/13/2018"
"dzd-166","5905484202226110000","2.0","8/13/2018"
"dzd-167","6544991076820330000","1","8/13/2018"
"dzd-168","5905485202224110000","1","8/13/2018"
"dzd-169","3544865076153330000","1","8/13/2018"
"dzd-17","9105827413560570000","1","8/11/2018"
"dzd-170","8105811413560570000","2.0","8/13/2018"
"dzd-171","4105672412870570000","2.0","8/13/2018"
"dzd-172","6105694412906570000","1","8/13/2018"
"dzd-173","8105818413568570000","1","8/13/2018"
"dzd-174","1340883660063970000","1","8/13/2018"
"dzd-175","5898099792351320000","1","8/13/2018"
"dzd-176","8105811413561570000","2.0","8/13/2018"
"dzd-177","3544864076137330000","1","8/13/2018"
"dzd-178","7544991076830330000","1","8/13/2018"
"dzd-179","1455175923905660000","2.0","8/13/2018"
"dzd-18","2662876545104910000","1","8/11/2018"
"dzd-180","544834076111331000","1","8/13/2018"
"dzd-181","3102041208248670000","1","8/13/2018"
"dzd-182","7545003076831330000","1","8/13/2018"
"dzd-183","5544988076806330000","1","8/13/2018"
"dzd-184","6544990076817330000","1","8/13/2018"
"dzd-185","3544863076136330000","1","8/13/2018"
"dzd-186","7544990076815330000","1","8/13/2018"
"dzd-187","7545003076825330000","1","8/13/2018"
"dzd-188","3544858076145330000","1","8/13/2018"
"dzd-189","3544863076136330000","1","8/13/2018"
"dzd-19","3780076323361730000","1","8/11/2018"
"dzd-190","4544975076807330000","1","8/13/2018"
"dzd-191","4544980076802330000","1","8/13/2018"
"dzd-192","1455173923885660000","1","8/13/2018"
"dzd-193","8905516202270110000","1","8/13/2018"
"dzd-194","5905484202223110000","1","8/13/2018"
"dzd-195","8905514202250110000","1","8/13/2018"
"dzd-196","1905359201555110000","1","8/13/2018"
"dzd-197","2340891660087970000","1","8/13/2018"
"dzd-198","2544860076141330000","1","8/13/2018"
"dzd-199","1544852076119330000","1","8/13/2018"
"dzd-2","6662880545010910000","1","7/30/2018"
"dzd-20","4780070323366730000","1","8/11/2018"
"dzd-200","6905505202252110000","1","8/13/2018"
"dzd-201","7544990076829330000","1","8/13/2018"
"dzd-202","4105679412880570000","1","8/13/2018"
"dzd-203","3105672412856570000","1","8/13/2018"
"dzd-204","3898086792319320000","1","8/13/2018"
"dzd-205","5898100792354320000","2.0","8/13/2018"
"dzd-206","3105676412881570000","1","8/13/2018"
"dzd-207","4898091792334320000","2.0","8/13/2018"
"dzd-208","3105671412880570000","1","8/13/2018"
"dzd-209","537460666230538000","1","8/18/2018"
"dzd-21","3780069323355730000","1","8/11/2018"
"dzd-210","3419568197933950000","1","8/18/2018"
"dzd-211","8905515202265110000","1","8/18/2018"
"dzd-212","5905496202228110000","1","8/18/2018"
"dzd-213","5905485202225110000","1","8/18/2018"
"dzd-214","5905486202239110000","1","8/18/2018"
"dzd-215","2340895660208970000","1","8/18/2018"
"dzd-216","2905356201568110000","1","8/18/2018"
"dzd-217","1905357201564110000","1","8/18/2018"
"dzd-218","4462555333692460000","1","8/18/2018"
"dzd-219","5462566333697460000","1","8/18/2018"
"dzd-22","4780077323370730000","1","8/11/2018"
"dzd-220","1580453802090040000","1","8/18/2018"
"dzd-221","2580460802106040000","1","8/18/2018"
"dzd-222","3419569197941950000","1","8/18/2018"
"dzd-223","4462552333685460000","1","8/18/2018"
"dzd-224","7544991076829330000","1","8/18/2018"
"dzd-225","5462572333826460000","2.0","8/18/2018"
"dzd-226","3419558197947950000","1","8/18/2018"
"dzd-227","3419557197933950000","1","8/18/2018"
"dzd-228","4537589666907530000","1","8/18/2018"
"dzd-229","5462569333824460000","1","8/18/2018"
"dzd-23","7662884545020910000","2.0","8/11/2018"
"dzd-230","19625465243806100","1","8/18/2018"
"dzd-231","537448666222538000","1","8/18/2018"
"dzd-232","1580457802112040000","1","8/18/2018"
"dzd-233","7537612666932530000","1","8/18/2018"
"dzd-234","3419557197940950000","1","8/18/2018"
"dzd-235","7537612666931530000","1","8/18/2018"
"dzd-236","1580453802090040000","1","8/18/2018"
"dzd-237","5462567333806460000","1","8/18/2018"
"dzd-238","7537612666923530000","1","8/18/2018"
"dzd-239","1580453802093040000","1","8/18/2018"
"dzd-24","3337275455584080000","1","8/11/2018"
"dzd-240","1580455802111040000","1","8/18/2018"
"dzd-241","4537595666906530000","1","8/18/2018"
"dzd-242","537460666230538000","1","8/18/2018"
"dzd-243","455161923875668000","2.0","8/18/2018"
"dzd-244","7544991076829330000","2.0","8/18/2018"
"dzd-245","8466323538979350000","1","8/18/2018"
"dzd-246","1455174923892660000","1","8/18/2018"
"dzd-247","1455175923905660000","1","8/18/2018"
"dzd-248","5544980076812330000","2.0","8/18/2018"
"dzd-249","905347201536115000","4.0","8/18/2018"
"dzd-25","4780071323381730000","1","8/11/2018"
"dzd-250","2105668412865570000","1","8/18/2018"
"dzd-251","7466213538339350000","1","8/18/2018"
"dzd-252","7545002076821330000","3.0","8/18/2018"
"dzd-253","7544990076814330000","1","8/18/2018"
"dzd-254","5905484202226110000","1","8/18/2018"
"dzd-255","2105669412858570000","1","8/18/2018"
"dzd-256","2340894660202970000","3.0","8/18/2018"
"dzd-257","7466209538320350000","1","8/18/2018"
"dzd-258","980374534636193000","1","8/18/2018"
"dzd-259","19630465369806400","1","8/18/2018"
"dzd-26","4780085323384730000","1","8/11/2018"
"dzd-260","7545002076832330000","1","8/18/2018"
"dzd-261","5462566333703460000","1","8/18/2018"
"dzd-262","19623465227806100","1","8/18/2018"
"dzd-263","980374534641193000","1","8/18/2018"
"dzd-264","6466201538331350000","1","8/18/2018"
"dzd-265","3105670412881570000","1","8/18/2018"
"dzd-266","2340895660206970000","1","8/18/2018"
"dzd-267","1340885660072970000","1","8/18/2018"
"dzd-268","7105700412910570000","2.0","8/18/2018"
"dzd-269","3105670412871570000","1","8/18/2018"
"dzd-27","7105702412901570000","1","8/11/2018"
"dzd-270","7105697412901570000","1","8/18/2018"
"dzd-271","7466209538326350000","1","8/18/2018"
"dzd-272","3466179538291350000","1","8/18/2018"
"dzd-273","94652798469884600","1","8/18/2018"
"dzd-274","2105662412856570000","1","8/18/2018"
"dzd-275","2340889660076970000","1","8/18/2018"
"dzd-276","2105666412858570000","1","8/18/2018"
"dzd-277","2340901660218970000","1","8/18/2018"
"dzd-278","1340884660078970000","1","8/18/2018"
"dzd-279","2905366201570110000","1","8/18/2018"
"dzd-28","7105697412908570000","1","8/11/2018"
"dzd-280","7537612666929530000","1","8/18/2018"
"dzd-281","3419563197932950000","1","8/18/2018"
"dzd-282","7545000076814330000","1","8/18/2018"
"dzd-283","4544974076798330000","1","8/18/2018"
"dzd-284","1455169923896660000","1","8/18/2018"
"dzd-285","7466206538335350000","1","8/18/2018"
"dzd-286","7980415534720190000","1","8/18/2018"
"dzd-287","7545001076816330000","1","8/18/2018"
"dzd-288","7544999076816330000","1","8/18/2018"
"dzd-289","7545001076830330000","1","8/18/2018"
"dzd-29","3105666412859570000","1","8/11/2018"
"dzd-290","7545001076816330000","1","8/18/2018"
"dzd-291","3544858076145330000","2.0","8/18/2018"
"dzd-292","4466193538308350000","1","8/18/2018"
"dzd-293","980379534659193000","1","8/18/2018"
"dzd-294","6544994076806330000","1","8/18/2018"
"dzd-295","6544994076806330000","3.0","8/18/2018"
"dzd-296","980385534764193000","1","8/18/2018"
"dzd-297","6466203538322350000","1","8/18/2018"
"dzd-298","1580453802094040000","1","8/18/2018"
"dzd-299","7537612666927530000","1","8/18/2018"
"dzd-3","7662883545019910000","1","7/30/2018"
"dzd-30","2105663412864570000","1","8/11/2018"
"dzd-300","537461666244538000","1","8/18/2018"
"dzd-301","7537610666941530000","1","8/18/2018"
"dzd-302","6466201538336350000","1","8/18/2018"
"dzd-303","7537612666923530000","1","8/18/2018"
"dzd-304","19631465372806400","1","8/18/2018"
"dzd-305","7875780036362050000","1","8/27/2018"
"dzd-306","4128012168883840000","1","8/27/2018"
"dzd-307","7875781036361050000","1","8/27/2018"
"dzd-308","6875778036342050000","1","8/27/2018"
"dzd-309","127887168208844000","1","8/27/2018"
"dzd-31","2105663412855570000","1","8/11/2018"
"dzd-310","3120623758989050000","1","8/27/2018"
"dzd-311","872125831803155000","1","8/27/2018"
"dzd-312","1127889168232840000","1","8/27/2018"
"dzd-313","6570824036674500000","1","8/27/2018"
"dzd-314","5570826036665490000","2.0","8/27/2018"
"dzd-315","5875767036342050000","1","8/27/2018"
"dzd-316","1872130831812150000","1","8/27/2018"
"dzd-317","4128018168896840000","1","8/27/2018"
"dzd-318","5875774036342050000","3.0","8/27/2018"
"dzd-319","8570847036707490000","1","8/27/2018"
"dzd-32","3102041208255670000","1","8/11/2018"
"dzd-320","8875897036995050000","1","8/27/2018"
"dzd-321","8875894037012050000","1","8/27/2018"
"dzd-322","8570849036711490000","1","8/27/2018"
"dzd-323","3875753036310050000","1","8/27/2018"
"dzd-324","4875755036318050000","1","8/27/2018"
"dzd-325","3875753036311050000","1","8/27/2018"
"dzd-326","3875751036322050000","1","8/27/2018"
"dzd-327","5120640759005050000","2.0","8/27/2018"
"dzd-328","8570837036703490000","1","8/27/2018"
"dzd-329","8875890036991050000","1","8/27/2018"
"dzd-33","1897970791681320000","1","8/11/2018"
"dzd-330","8570849036707490000","1","8/27/2018"
"dzd-331","3120628758980050000","1","8/27/2018"
"dzd-332","8875892037008050000","2.0","8/27/2018"
"dzd-333","8570845036686490000","1","8/27/2018"
"dzd-334","8570847036707490000","1","8/27/2018"
"dzd-335","1872125831814150000","1","8/27/2018"
"dzd-336","1127884168226840000","1","8/27/2018"
"dzd-337","4128017168883840000","1","8/27/2018"
"dzd-338","872125831809155000","1","8/27/2018"
"dzd-339","127875168210845000","1","8/27/2018"
"dzd-34","3105671412879570000","1","8/11/2018"
"dzd-340","127876168216844000","1","8/27/2018"
"dzd-341","1872130831812150000","1","8/27/2018"
"dzd-342","5875769036344050000","1","8/27/2018"
"dzd-343","2879520241687940000","1","8/27/2018"
"dzd-344","5883151446210840000","1","8/27/2018"
"dzd-345","2879521241690940000","1","8/27/2018"
"dzd-346","3883135446193840000","1","8/27/2018"
"dzd-347","2120613758989050000","1","8/27/2018"
"dzd-348","5883159446227840000","1","8/27/2018"
"dzd-349","7563456626816700000","1","8/27/2018"
"dzd-35","219929676536263000","1","8/11/2018"
"dzd-350","2563430626766700000","2.0","8/27/2018"
"dzd-351","8883172446245840000","3.0","8/27/2018"
"dzd-352","4883141446217840000","1","8/27/2018"
"dzd-353","2563442626901700000","1","8/27/2018"
"dzd-354","120490758335052000","1","8/27/2018"
"dzd-355","8023390670435700000","1","8/27/2018"
"dzd-356","8570837036705490000","1","8/27/2018"
"dzd-357","3879513241587940000","1","8/27/2018"
"dzd-358","7570837036700500000","1","8/27/2018"
"dzd-359","8570845036688490000","1","8/27/2018"
"dzd-36","1219937676555260000","1","8/11/2018"
"dzd-360","2879528241702940000","1","8/27/2018"
"dzd-361","4883142446206840000","1","8/27/2018"
"dzd-362","6883165446234840000","1","8/27/2018"
"dzd-363","5883151446210840000","1","8/27/2018"
"dzd-364","8883178446253840000","1","8/27/2018"
"dzd-365","5883159446230840000","1","8/27/2018"
"dzd-366","8563461626813700000","1","8/27/2018"
"dzd-367","4883141446217840000","1","8/27/2018"
"dzd-368","6120650759023050000","1","8/27/2018"
"dzd-369","8570843036705490000","1","8/27/2018"
"dzd-37","8783836528540630000","1","8/11/2018"
"dzd-370","8570843036710500000","1","8/27/2018"
"dzd-371","8875892037008050000","1","8/27/2018"
"dzd-372","976749330153297000","1","8/27/2018"
"dzd-373","8563457626806700000","1","8/27/2018"
"dzd-374","1976754330155290000","3.0","8/27/2018"
"dzd-375","4883140446204840000","1","8/27/2018"
"dzd-376","4883139446204840000","1","8/27/2018"
"dzd-377","7570842036695490000","1","8/27/2018"
"dzd-378","7570828036683490000","1","8/27/2018"
"dzd-379","7570840036683490000","1","8/27/2018"
"dzd-38","6662875544998910000","3.0","8/11/2018"
"dzd-380","6120644759029050000","1","8/27/2018"
"dzd-381","6120650759023050000","1","8/27/2018"
"dzd-382","3883134446193840000","1","8/27/2018"
"dzd-383","3120624758988050000","1","8/27/2018"
"dzd-384","7570828036679500000","1","8/27/2018"
"dzd-385","3875758036310050000","1","8/27/2018"
"dzd-386","5570826036664490000","1","8/27/2018"
"dzd-387","120503758336052000","2.0","8/27/2018"
"dzd-388","7883167446243840000","2.0","8/27/2018"
"dzd-389","2563430626767700000","1","8/27/2018"
"dzd-39","4780085323391730000","1","8/11/2018"
"dzd-390","7120650759038050000","1","8/27/2018"
"dzd-391","5883151446207840000","1","8/27/2018"
"dzd-392","4120639759012050000","1","8/27/2018"
"dzd-393","2563436626895700000","1","8/27/2018"
"dzd-394","2563436626895700000","1","8/27/2018"
"dzd-395","8570847036707490000","1","8/27/2018"
"dzd-396","7563444626810700000","1","8/27/2018"
"dzd-397","8023396670433700000","1","8/27/2018"
"dzd-398","7563455626815700000","1","8/27/2018"
"dzd-399","6883159446232840000","1","8/27/2018"
"dzd-4","219934676530263000","1","7/30/2018"
"dzd-40","4662893545111910000","1","8/11/2018"
"dzd-400","7563452626792700000","1","8/27/2018"
"dzd-401","3757853567991460000","1","9/9/2018"
"dzd-402","2757851567991460000","1","9/9/2018"
"dzd-403","2757851567991460000","2.0","9/9/2018"
"dzd-404","5685110300506190000","3.0","9/9/2018"
"dzd-405","1872130831812150000","1","9/9/2018"
"dzd-406","6315063700255810000","3.0","9/9/2018"
"dzd-407","8315070700265810000","4.0","9/9/2018"
"dzd-408","9131660373422740000","2.0","9/9/2018"
"dzd-409","5570818036678490000","1","9/9/2018"
"dzd-41","4780070323369730000","1","8/11/2018"
"dzd-410","2688714504955080000","1","9/9/2018"
"dzd-411","5757877568137460000","1","9/9/2018"
"dzd-412","8245941637253430000","1","9/9/2018"
"dzd-413","8245939637242430000","1","9/9/2018"
"dzd-414","8757880568049460000","1","9/9/2018"
"dzd-415","7757872568022460000","1","9/9/2018"
"dzd-416","7757863568026460000","4.0","9/9/2018"
"dzd-417","7315067700268800000","1","9/9/2018"
"dzd-418","5245910637077430000","1","9/9/2018"
"dzd-419","1802989768653770000","1","9/9/2018"
"dzd-42","219932676544263000","1","8/11/2018"
"dzd-420","5245914637095430000","1","9/9/2018"
"dzd-421","2245923637203430000","1","9/9/2018"
"dzd-422","1754212363472560000","1","9/9/2018"
"dzd-423","1757850568113460000","3.0","9/9/2018"
"dzd-424","8245941637253430000","1","9/9/2018"
"dzd-425","5245921637212430000","1","9/9/2018"
"dzd-426","5245917637086430000","1","9/9/2018"
"dzd-427","5245917637084430000","1","9/9/2018"
"dzd-428","5245911637092430000","1","9/9/2018"
"dzd-429","1754216363486560000","1","9/9/2018"
"dzd-43","648378029435072000","1","8/11/2018"
"dzd-430","1688705504959080000","1","9/9/2018"
"dzd-431","3245929637211430000","1","9/9/2018"
"dzd-432","1688707504948080000","1","9/9/2018"
"dzd-433","2245923637198430000","1","9/9/2018"
"dzd-434","1754215363490560000","1","9/9/2018"
"dzd-435","2757852568004460000","1","9/9/2018"
"dzd-436","8245940637240430000","2.0","9/9/2018"
"dzd-437","5757875568150460000","1","9/9/2018"
"dzd-438","8757874568045460000","1","9/9/2018"
"dzd-439","7245923637103430000","2.0","9/9/2018"
"dzd-44","9220249980630000000","1","8/11/2018"
"dzd-440","6245917637100430000","1","9/9/2018"
"dzd-441","1754219363478560000","1","9/9/2018"
"dzd-442","8883177446252840000","5.0","9/9/2018"
"dzd-443","120502758338052000","1","9/9/2018"
"dzd-444","754101362829567000","1","9/9/2018"
"dzd-445","4685102300492190000","1","9/9/2018"
"dzd-446","2757849567985460000","1","9/9/2018"
"dzd-447","4245906637087430000","1","9/9/2018"
"dzd-448","8245940637240430000","3.0","9/9/2018"
"dzd-449","8757880568037460000","1","9/9/2018"
"dzd-45","2787186429228780000","1","8/11/2018"
"dzd-450","5685107300493190000","1","9/9/2018"
"dzd-451","3314936699597800000","1","9/9/2018"
"dzd-452","6120646759007050000","1","9/9/2018"
"dzd-453","6315059700247810000","1","9/9/2018"
"dzd-454","872130831805154000","3.0","9/9/2018"
"dzd-455","7315067700276810000","1","9/9/2018"
"dzd-456","6315060700258800000","1","9/9/2018"
"dzd-457","9131656373432740000","1","9/9/2018"
"dzd-458","6315059700260810000","1","9/9/2018"
"dzd-459","7315063700252810000","1","9/9/2018"
"dzd-46","3662876545113910000","1","8/11/2018"
"dzd-460","9131660373421740000","1","9/9/2018"
"dzd-461","6315059700254800000","1","9/9/2018"
"dzd-462","1872126831819150000","2.0","9/9/2018"
"dzd-463","5128024168905840000","3.0","9/9/2018"
"dzd-464","872126831790154000","3.0","9/9/2018"
"dzd-465","8757871568050460000","1","9/9/2018"
"dzd-466","5685108300500190000","1","9/9/2018"
"dzd-467","5757875568150460000","1","9/9/2018"
"dzd-468","3757859568123460000","1","9/9/2018"
"dzd-469","8757869568040460000","2.0","9/9/2018"
"dzd-47","3662887545115910000","2.0","8/11/2018"
"dzd-470","5757879568148460000","2.0","9/9/2018"
"dzd-471","7757867568031460000","1","9/9/2018"
"dzd-472","8757874568039460000","1","9/9/2018"
"dzd-473","7315069700257810000","1","9/9/2018"
"dzd-474","5685109300500190000","1","9/9/2018"
"dzd-475","7315068700255810000","1","9/9/2018"
"dzd-476","6315056700237810000","1","9/9/2018"
"dzd-477","1757848568099460000","1","9/9/2018"
"dzd-478","1757849568110460000","1","9/9/2018"
"dzd-479","2757850567997460000","1","9/9/2018"
"dzd-48","8662897545036910000","1","8/11/2018"
"dzd-480","4757868568133460000","1","9/9/2018"
"dzd-481","3757854567992460000","1","9/9/2018"
"dzd-482","8757873568040460000","1","9/9/2018"
"dzd-483","7757872568028460000","1","9/9/2018"
"dzd-484","4875766036319050000","2.0","9/9/2018"
"dzd-485","2127902168237840000","1","9/9/2018"
"dzd-486","6315056700244800000","1","9/9/2018"
